enrollment_number,first_name,last_name,email,phone,date_of_birth,parent_name,parent_phone,gender,status,username,password,teacher_name,teacher_employee_id,class_name,school_name,school_class
STU-NEW-00993,Alisher,Ablayorov,alisher10@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,alisher10,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-00994,Humoyun,Rajabov,humoyun4@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,humoyun4,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-00995,Shaxboz,Rahimboyev,shaxboz@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,shaxboz,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-00996,Ahliddin,Qahramonov,ahliddin2@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,ahliddin2,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-00997,Ayubxon,Naimjonov,ayubxon@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,ayubxon,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-00998,Muhammadali,Shuxratov,muhammadali14@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,muhammadali14,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-00999,Ibrohim,Olimjonov,ibrohim5@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,ibrohim5,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-01000,Afzaliddin,Moyavillayev,afzaliddin@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,afzaliddin,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-01001,Abubakir,Haqberdiyev,abubakir6@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,abubakir6,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-01002,Yasmina,Yardonova,yasmina3@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,yasmina3,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-01003,Abdurahim,A'zamov,abdurahim3@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,abdurahim3,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-01004,Muhammadyusuf,Murodillayev,muhammadyusuf9@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,muhammadyusuf9,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-01005,Umarbek,Bozorov,umarbek2@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,umarbek2,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-01006,Ulug'bek,Shavkatov,ulugbek6@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,ulugbek6,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
STU-NEW-01007,Ayubbek,Botirov,ayubbek@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,ayubbek,012345678,Uktamov Alisher,TCH-020,Matematika 3 16:00,Unknown School,10
