enrollment_number,first_name,last_name,email,phone,date_of_birth,parent_name,parent_phone,gender,status,username,password,teacher_name,teacher_employee_id,class_name,school_name,school_class
STU-NEW-01008,Yorqin,Shukrullayev,yorqin2@temurbekschool.local,+998500761603,2010-01-01,Unknown Parent,+998971234567,Male,Active,yorqin2,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,97,2
STU-NEW-01009,Shukrona,Rashidova,shukrona5@temurbekschool.local,+998939977270,2010-01-01,Unknown Parent,+998971234567,Male,Active,shukrona5,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,54,2
STU-NEW-01010,Ma'rufbek,Karimov,marufbek@temurbekschool.local,+998505207993,2010-01-01,Unknown Parent,+998971234567,Male,Active,marufbek,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,6,3
STU-NEW-01011,Mushtariy,Karimova,mushtariy4@temurbekschool.local,+998505207993,2010-01-01,Unknown Parent,+998971234567,Male,Active,mushtariy4,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,6,2
STU-NEW-01012,Muhammadsodiq,Mahmudov,muhammadsodiq5@temurbekschool.local,+998979366633,2010-01-01,Unknown Parent,+998971234567,Male,Active,muhammadsodiq5,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,55,1
STU-NEW-01013,Samir,Farmonov,samir2@temurbekschool.local,+998915263514,2010-01-01,Unknown Parent,+998971234567,Male,Active,samir2,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,48,5
STU-NEW-01014,Shahrambek,Farmonov,shahrambek@temurbekschool.local,+998990280115,2010-01-01,Unknown Parent,+998971234567,Male,Active,shahrambek,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,48,5
STU-NEW-01015,Miraziz,SHukrullayev,miraziz2@temurbekschool.local,+998902769722,2010-01-01,Unknown Parent,+998971234567,Male,Active,miraziz2,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,54,1
STU-NEW-01016,Abdulvosid,Najmiyev,abdulvosid@temurbekschool.local,+998907425492,2010-01-01,Unknown Parent,+998971234567,Male,Active,abdulvosid,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,158,5
STU-NEW-01017,Muhammadamin,Sohibov,muhammadamin6@temurbekschool.local,+998993663045,2010-01-01,Unknown Parent,+998971234567,Male,Active,muhammadamin6,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,158,5
STU-NEW-01018,Muhammadali,Nematillayev,muhammadali15@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,muhammadali15,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,86,2
STU-NEW-01019,Mehrinso,Nematillayeva,mehrinso@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,mehrinso,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,86,3
STU-NEW-01020,Javohir,Sa'dullayev,javohir9@temurbekschool.local,+998950739555,2010-01-01,Unknown Parent,+998971234567,Male,Active,javohir9,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,158,5
STU-NEW-01021,Azizbek,Faxriddinov,azizbek11@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,azizbek11,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,Unknown School,10
STU-NEW-01022,Muhammadkarim,Nizomov,muhammadkarim@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,muhammadkarim,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,Unknown School,10
STU-NEW-01023,Hojiahmad,Hasanov,hojiahmad@temurbekschool.local,+998971234567,2010-01-01,Unknown Parent,+998971234567,Male,Active,hojiahmad,012345678,Xursandmurodova Shamsiya,TCH-021,Kids Shamsiya,Unknown School,10
STU-NEW-01024,Imomali,Jamolov,imomali@temurbekschool.local,+998947311221,2010-01-01,Unknown Parent,+998971234567,Male,Active,imomali,012345678,Xursandmurodova Shamsiya,TCH-021,Kids English (Shamsiyabegim),7,3
STU-NEW-01025,Akbar,Soliyev,akbar2@temurbekschool.local,+998973900651,2010-01-01,Unknown Parent,+998971234567,Male,Active,akbar2,012345678,Xursandmurodova Shamsiya,TCH-021,Kids English (Shamsiyabegim),86,2
STU-NEW-01026,Robiya,Sharopova,robiya5@temurbekschool.local,+998933713865,2010-01-01,Unknown Parent,+998971234567,Male,Active,robiya5,012345678,Xursandmurodova Shamsiya,TCH-021,Kids English (Shamsiyabegim),158,3
